Area,Feature,Description,Status,Priority,LOE,Risk,Roadmap Phase,Dependency,Evidence Source,Evidence Note,Owner,Target,Linear URL,Notes
Images and capture,Capture issues panel,Show capture issues so users can review failed or blocked page image captures.,Complete,P2,Done,Low,Current product,Capture issue tracking,frontend/src/components/toolbar/CaptureIssuesPanel.js; frontend/src/utils/captureIssues.js; frontend/src/utils/captureIssues.test.js,"Capture issues utility, panel, and tests exist.",,,,
Images and capture,Download screenshot batches,Download selected/all thumbnails and selected/all full screenshots.,Planned,P2,M,Medium,Phase 9G,Stable screenshot asset persistence,docs/screenshot-pipeline-hardening.md,Docs list Phase 9G download controls as next asset lifecycle controls.,,,,
Images and capture,Remove/rescan screenshot assets,Remove and rescan thumbnail/full screenshot assets safely.,Future,P3,M,High,Future asset lifecycle,Trusted backend asset model and file reclamation,docs/screenshot-pipeline-hardening.md,"Docs defer remove, rescan, and file reclamation until after testing.",,,,
Reports and exports,Report drawer,"Show a structured report with stats, filters, search, sorting, and page rows.",Complete,P1,Done,Low,Current product,Scan classification output,frontend/src/components/reports/ReportDrawer.js; frontend/src/components/reports/ReportDrawer.test.js,Report drawer and tests exist.,,,,
Reports and exports,Insights tab and page scoring,"Surface IA, SEO, technical, content, and accessibility-hint findings with severity.",Complete,P1,Done,Medium,Current product,Report/insights data,frontend/src/components/reports/ReportDrawer.js; frontend/src/components/reports/ReportDrawer.test.js,Report drawer defines insight categories/severity and tests cover completed insights/page score rows.,,,,"Map Insights stays within Features for V1 marketing, not a top-level route."
Reports and exports,PNG export,Export the visual sitemap as an image.,Complete,P1,Done,Low,Current product,Canvas export path,README.md; frontend/src/components/modals/ExportModal.js,README lists PNG export and ExportModal exposes PNG Image.,,,,
Reports and exports,PDF export,Export a printable PDF report.,Complete,P1,Done,Low,Current product,Report export path,README.md; frontend/src/components/modals/ExportModal.js,README lists PDF export and ExportModal exposes PDF Document.,,,,
Reports and exports,CSV export,Export page data to CSV for spreadsheets.,Complete,P1,Done,Low,Current product,Page data extraction,frontend/src/components/modals/ExportModal.js,ExportModal exposes CSV Spreadsheet.,,,,
Reports and exports,JSON export,Export raw map/page data for backup or import-style workflows.,Complete,P2,Done,Low,Current product,Map data serialization,frontend/src/components/modals/ExportModal.js,ExportModal exposes JSON Data.,,,,
Reports and exports,Site Index export,Export a page-list document for Word or Google Docs style handoff.,Complete,P2,Done,Low,Current product,Page list generation,frontend/src/components/modals/ExportModal.js,ExportModal exposes Site Index.,,,,
Reports and exports,AI Site Brief export,Export a site-building brief for AI code tools.,Complete,P2,Done,Medium,Current product,Map summary generation,frontend/src/components/modals/ExportModal.js,ExportModal exposes AI Site Brief.,,,,
"Saving, projects, and versions",Saved maps,Save maps for authenticated users and reopen them later.,Complete,P0,Done,Low,Current product,Authentication and map storage,README.md; frontend/src/components/modals/SaveMapModal.js; server.js,README lists saved maps; save modal and backend map routes exist.,,,,
"Saving, projects, and versions",Projects,Organize saved maps into projects.,Complete,P1,Done,Low,Current product,Saved maps,README.md; frontend/src/components/modals/ProjectsModal.js; frontend/src/components/modals/ProjectsModal.test.js,README lists projects; ProjectsModal and tests exist.,,,,
"Saving, projects, and versions",Autosave/save flow,Persist map changes through the save/autosave path.,Complete,P0,Done,Medium,Current product,Map storage,frontend/src/App.js; frontend/src/components/modals/SaveMapModal.test.js,App contains save/autosave callbacks and SaveMapModal tests exist.,,,,
"Saving, projects, and versions",Named version saves,Let owners/editors save named versions of a map.,Partial,P1,M,Medium,Collaboration Phase 5,Version metadata and actor attribution,docs/collaboration-roadmap.md; frontend/src/components/modals/SaveVersionModal.js; frontend/src/components/modals/SaveVersionModal.test.js,Roadmap says owners/editors save and name versions is mostly done but needs UI/actor metadata finishing.,,,,Keep on roadmap until Phase 5 exit criteria are met.
"Saving, projects, and versions",Version history browsing,List and view historical map versions.,Partial,P1,M,Medium,Collaboration Phase 5,Version metadata and role-aware history access,docs/collaboration-roadmap.md; frontend/src/components/drawers/VersionHistoryDrawer.js; frontend/src/components/drawers/VersionHistoryDrawer.test.js,Roadmap says version listing works but read-only history is still part of later collaboration work.,,,,
Auth and access,Email/password auth,Support email/password login and signup.,Complete,P0,Done,Low,Current product,,README.md; frontend/src/components/modals/AuthModal.js; frontend/src/components/modals/AuthModal.test.js,README lists authentication; AuthModal and tests exist.,,,,
Auth and access,Email verification and password reset,Handle signup verification and password reset code flows.,Complete,P0,Done,Medium,Current product,Transactional email provider,README.md; frontend/src/components/modals/AuthModal.js,README lists verification/reset TTL env vars and auth modal handles auth flows.,,,,
Auth and access,Google sign-in,Support Google OAuth sign-in.,Complete,P1,Done,Medium,Current product,Google OAuth config,README.md; frontend/src/components/modals/AuthModal.js; frontend/src/components/modals/AuthModal.test.js,README lists Google sign-in env vars and AuthModal tests cover Google sign-in.,,,,
Auth and access,Account/profile/settings surfaces,"Expose account, profile, and settings UI drawers.",Complete,P2,Done,Low,Current product,Logged-in user session,frontend/src/components/drawers/AccountDrawer.js; frontend/src/components/drawers/ProfileDrawer.js; frontend/src/components/drawers/SettingsDrawer.js,"Account, profile, and settings drawers exist.",,,,
Auth and access,Workspace device support gate,Keep app/admin workspace access to supported desktop/tablet screens while marketing remains accessible.,Complete,P1,Done,Low,Current product,Route classification and viewport detection,frontend/src/RootApp.js; frontend/src/utils/deviceSupport.test.js; frontend/src/RootApp.test.js,Root app and device support tests cover route-level support policy.,,,,
Sharing and collaboration,Share links with expiration,Create share links with expiration and access controls.,Complete,P0,Done,Medium,Current product,Saved maps and auth/access model,README.md; frontend/src/components/modals/ShareModal.js; frontend/src/components/modals/ShareModal.test.js,README lists share links with expiration; ShareModal and tests exist.,,,,
Sharing and collaboration,Viewer/commenter/editor roles,"Allow shared maps to resolve viewer, commenter, editor, and owner behavior.",Complete,P0,Done,Medium,Current product,Share/access model,docs/collaboration-roadmap.md; frontend/src/components/modals/ShareModal.js; frontend/src/components/routes/MapAccessGate.js,Roadmap baseline says viewer/commenter can open shared maps with role-based restrictions.,,,,
Sharing and collaboration,Collaboration backend entities,"Backend foundation for memberships, invites, comments, settings, access requests, and activity events.",Partial,P1,M,High,Collaboration Phases 1-3,COLLABORATION_BACKEND_ENABLED,docs/collaboration-backend.md; routes/collaboration.js,Docs list backend endpoints and schema but the feature is flag-gated.,,,,Partial because default behavior is unchanged when flag is off.
Sharing and collaboration,Invite acceptance and invite inbox,Accept collaboration invites and review pending invitations.,Partial,P1,M,Medium,Collaboration Phase 6,Collaboration backend and email delivery,docs/collaboration-backend.md; frontend/src/components/routes/InviteAcceptGate.js; frontend/src/components/modals/InviteInboxModal.js,Backend invite accept endpoint and frontend invite gate/inbox components exist.,,,,Needs product validation with real email/invite flows.
Sharing and collaboration,Access request inbox,Let owners review and approve/deny map access requests.,Partial,P1,M,Medium,Collaboration Phase 6,Owner policy and access-request backend,docs/collaboration-backend.md; frontend/src/components/modals/AccessRequestInboxModal.js; frontend/src/components/modals/AccessRequestInboxModal.test.js,Backend access request endpoints and inbox modal/tests exist.,,,,
Sharing and collaboration,API-driven permission feature gates,"Use backend-resolved role permissions to gate map view, edit, comment, version, share, discovery, presence, and co-editing features.",Partial,P1,M,High,Phase 9E,REACT_APP_PERMISSION_GATING_ENABLED,docs/permission-feature-gating.md; policies/permissionPolicy.js; frontend/src/api.js,Docs list feature-gates endpoint and frontend flag; default is off.,,,,Partial because fallback legacy gating remains default.
Sharing and collaboration,Multiple owners,Support more than one owner for a map.,Planned,P1,L,High,Collaboration Phase 1,Permission model refactor,docs/collaboration-roadmap.md,Roadmap maps multiple owners to Phase 1 as a structural permission-model change.,,,,
Sharing and collaboration,Owner-governed collaboration policy,Let owners control private/open collaboration settings and approval rules.,Planned,P1,L,High,Collaboration Phase 1 + 6,Multiple-owner model and collaboration settings,docs/collaboration-roadmap.md; docs/collaboration-backend.md,Roadmap says owner approval and collaboration policy should come before richer collaboration UI.,,,,
Sharing and collaboration,Transactional collaboration email,"Send invites, access-request notifications, and auth/collaboration transactional email through provider abstraction.",Partial,P1,M,High,Platform track,Email provider/domain setup,docs/collaboration-roadmap.md; README.md,"Roadmap says provider abstraction, queue, audit rows, admin diagnostics, and webhooks exist; production provider setup remains operational.",,,,Marketing/promotional email is out of scope.
Comments and review,Node comments and replies,"Add comments, replies, and completion state to map nodes.",Complete,P0,Done,Medium,Current product,Map/node data,frontend/src/components/comments/CommentPopover.js; frontend/src/components/comments/CommentsPanel.js; frontend/src/components/comments/CommentsPanel.test.js,Comment popover/panel and tests exist.,,,,Current roadmap notes local JSON limitations for live mode.
Comments and review,First-class backend comments,Store comments as backend entities with map/node/comment IDs and lazy legacy import.,Partial,P1,M,High,Collaboration Phase 3A,Collaboration backend,docs/collaboration-backend.md; docs/collaboration-roadmap.md,Backend docs describe comment endpoints; roadmap still calls commenter functionality Phase 3.,,,,Needed before commenter role is fully correct in live collaboration.
Comments and review,Commenter role functionality,Let commenters participate through comment-specific permissions without full edit rights.,Planned,P1,M,High,Collaboration Phase 3,First-class backend comments,docs/collaboration-roadmap.md,Requested item table maps commenter functionality to Phase 3.,,,,
Realtime and co-editing,Presence sessions,Track active authenticated sessions on a saved map and show active-session awareness.,Partial,P2,M,Medium,Phase 9D,REALTIME_BASELINE_ENABLED,docs/realtime-collaboration-baseline.md; frontend/src/hooks/useCoeditingLive.test.js,Realtime baseline docs list presence endpoints and frontend flag; default is off.,,,,Not full co-editing.
Realtime and co-editing,Live co-editing mode,"Allow scoped users/maps to edit saved maps through live document, socket, op queue, replay, and resync paths.",Partial,P1,XL,High,Phase 10D/10E,COEDITING_EXPERIMENT_ENABLED and rollout gates,docs/coediting-frontend-live-mode.md; docs/coediting-rollout-safety-controls.md,"Docs describe opt-in live mode, activation rules, supported edits, blocked flows, and rollout gates.",,,,Partial because it is feature-flagged and intentionally limited.
Realtime and co-editing,Collaborator selection presence,Broadcast selected node IDs and render collaborator selection indicators.,Partial,P2,M,Medium,Phase 10D,Live WebSocket session,docs/coediting-frontend-live-mode.md,Docs describe throttled selection.update messages and selection pills.,,,,No full cursor streaming yet.
Realtime and co-editing,Activity event store,Record append-only map activity events separately from scan history and version snapshots.,Partial,P1,M,High,Collaboration Phase 2A,Collaboration backend,docs/collaboration-backend.md; docs/collaboration-roadmap.md,Backend docs list activity event table/sources; roadmap says history log needs activity store then UI.,,,,
Realtime and co-editing,Live update notifications,Notify users about live changes from other collaborators.,Planned,P2,M,Medium,Collaboration Phase 5,Activity event store,docs/collaboration-roadmap.md,Requested item table maps live update notifications to Phase 5.,,,,
Realtime and co-editing,Read-only realtime for viewers/commenters,Give viewer/commenter roles a complete read-only live subscription experience.,Planned,P2,L,High,Collaboration Phase 4/5,Stable read-only subscription path,docs/collaboration-roadmap.md,Roadmap lists viewer/commenter read-only live subscription as a known gap.,,,,
Admin and feedback,In-app feedback widget,Collect user feedback from inside the app.,Complete,P1,Done,Low,Current product,,frontend/src/components/feedback/FeedbackWidget.js; frontend/src/utils/feedback.js,Feedback widget and feedback utility exist.,,,,
Admin and feedback,Feedback console and roadmap themes,"Review feedback, group recurring themes, set priority/severity/status, and attach external tracker URLs.",Complete,P1,Done,Medium,Current product,Admin auth/API,frontend/src/components/admin/FeedbackConsole.js; routes/admin.js,"Feedback console includes theme status, priority, severity, owner, and tracker URL fields.",,,,This already has a place for Linear links.
Admin and feedback,Usage metering and limits,Track scan/screenshot usage and enforce configured limits.,Partial,P1,M,High,Operational hardening,Usage store and admin APIs,README.md; routes/admin.js; config/,README lists usage limit env vars and admin key; local checkout also contains usage config/admin work.,,,,Partial until current admin usage/cost work is validated and committed.
Admin and feedback,Runtime verification scripts,"Verify staging/production health, auth, realtime rollout, and runtime behavior.",Complete,P1,Done,Low,Current operations,Staging/production env config,README.md; scripts/smoke-test.js; scripts/check-local-collaboration.js,README lists runtime verification commands and targeted scripts exist.,,,,
Platform and data,SQLite local/dev runtime,Support local development with SQLite fallback storage.,Complete,P1,Done,Low,Current platform,,README.md; docs/postgres-migration.md,README documents DB_PROVIDER sqlite default and DB_PATH fallback.,,,,
Platform and data,Postgres runtime path,Support staging/production Postgres runtime and migration readiness.,Partial,P1,L,High,Runtime migration,Postgres migration validation,README.md; docs/postgres-migration.md; docs/postgres-runtime-ops.md,README documents DB_PROVIDER=postgres; migration doc says setting Postgres is not a completed cutover by itself.,,,,
Platform and data,Worker/runtime split,"Run web and worker processes separately for jobs such as screenshots, scans, discovery, and email.",Partial,P1,M,High,Operational hardening,Railway worker configuration,README.md; docs/screenshot-pipeline-hardening.md,README documents RUN_MODE and worker command; screenshot docs describe separate screenshot worker service.,,,,Partial because this is runtime/deployment-sensitive.
Platform and data,R2 screenshot storage,Store screenshot assets in R2 for staging/production while keeping local filesystem fallback for dev.,Partial,P1,M,High,Operational hardening,R2 credentials and route validation,docs/screenshot-pipeline-hardening.md,Docs list R2 provider env vars and serving stored assets through /screenshots/:filename.,,,,Partial until runtime verification confirms the environment.
Marketing and product surface,Marketing site information architecture,"Marketing pages for overview, use cases, features, examples, pricing, FAQ, mission, and contact.",Partial,P1,M,Medium,Marketing V1,Marketing route/content finalization,frontend/src/marketing/marketingConfig.js; frontend/src/marketing/MarketingSite.js; frontend/src/marketing/MarketingSite.test.js,Marketing config and tests exist in the current local checkout.,,,,Partial because local marketing files are currently uncommitted in this checkout.
Marketing and product surface,Marketing SEO metadata and route tests,"Define marketing page metadata, canonical links, and route coverage.",Partial,P1,S,Medium,Marketing V1,Marketing route finalization,frontend/src/marketing/marketingConfig.js; frontend/src/marketing/MarketingSite.test.js; frontend/src/utils/appRoutes.test.js,Marketing config includes meta titles/descriptions and route tests exist.,,,,Partial for same uncommitted-checkout reason as marketing IA.
Marketing and product surface,Pricing plan details,Publish committed pricing tiers and limits.,Unknown,TBD,TBD,TBD,Business decision,Pricing/product decision,,No committed pricing evidence found; marketing config explicitly avoids inventing final pricing.,,,,"Track as a decision, not an engineering task yet."
Marketing and product surface,Examples library,Show concrete example maps and workflows.,Planned,P2,M,Medium,Marketing V1/V2,Example content and screenshots,frontend/src/marketing/marketingConfig.js,Marketing config includes Examples and Example workflow pages as content shells.,,,,
Future product vision,Templates and assistant,Add reusable templates and assistant workflows.,Future,P2,XL,High,Future vision,Template model and AI workflow design,frontend/src/marketing/marketingConfig.js,Marketing feature page lists Templates and assistant under upcoming.,,,,
Future product vision,Navigation prototyping and tree testing,Prototype navigation structures and test tree-style navigation decisions.,Future,P3,XL,High,Future vision,Research/testing workflow design,frontend/src/marketing/marketingConfig.js,Marketing feature page lists navigation prototyping and tree testing under upcoming.,,,,
Future product vision,Diagramming tools,Add diagramming capabilities beyond sitemap editing.,Future,P3,XL,High,Future vision,Canvas/product model extension,frontend/src/marketing/marketingConfig.js,Marketing feature page lists diagramming tools under upcoming.,,,,
Future product vision,Third-party integrations,"Integrate with Atlassian, Slack, Airtable, Figma, and related workflow tools.",Future,P3,XL,High,Future vision,Integration strategy and auth scopes,frontend/src/marketing/marketingConfig.js,"Marketing feature page lists Atlassian, Slack, Airtable, Figma, and more under upcoming.",,,,Linear can be added here later if chosen.
Design system,Shared UI primitives,"Reusable buttons, inputs, badges, tags, modals, alerts, toggles, menus, and related primitives.",Complete,P1,Done,Low,Current product,App CSS tokens,frontend/src/components/ui; frontend/src/components/ui/Primitives.test.js; docs/design-system/figma-code-first-handoff.md,UI primitive directory/tests exist and Figma handoff maps core primitives.,,,,
Design system,Figma library handoff contract,Maintain a code-first Figma/component/token mapping so design work does not drift from the app.,Partial,P2,M,Medium,Design system Phase 1,Stable app tokens/components,docs/design-system/figma-code-first-handoff.md; docs/design-system/figma-parity-map.md,Docs define current mapping and known gaps; code remains source of truth.,,,,
Design system,Code Connect automation,Map Figma components directly to code snippets through Code Connect.,Future,P3,L,Medium,Design system Phase 2,Figma Developer seat and stable component names,docs/design-system/figma-code-first-handoff.md,Handoff doc says Code Connect is deferred and currently blocked by account/plan requirements.,,,,
Design system,Shared menu surface primitive,Replace repeated dropdown/menu patterns with a shared menu surface primitive.,Planned,P2,M,Medium,Design system cleanup,UI primitive consolidation,docs/design-system/figma-code-first-handoff.md,Figma handoff marks shared Menu Surface as missing.,,,,
Design system,Shared option-card primitive,Consolidate welcome/export/create option cards into a shared primitive where needed.,Partial,P3,S,Low,Design system cleanup,Component consolidation,docs/design-system/figma-code-first-handoff.md; frontend/src/components/ui/OptionCard.js,"OptionCard exists, while handoff notes some option-card styling remains coupled to specific modals.",,,,
